gene_name	LSK_F_WT_1	LSK_F_WT_2	LSK_F_KO_1	LSK_F_KO_2
Dock10	6297	6631	7965	7358
Nyap2	0	0	0	0
Mir6344	0	0	0	0
Irs1	0	4	0	11
Rhbdd1	2460	2662	2727	2303
Col4a4	0	0	0	6
Col4a3	2	26	0	2
Mff	7812	10147	7661	8331
Tm4sf20	0	2	0	0
Agfg1	3880	4377	4533	4392
Slc19a3	12	62	0	26
Ccl20	0	0	0	0
Daw1	0	0	0	0
Sphkap	0	0	0	0
Pid1	46	78	10	68
Mir6353	0	0	0	0
Dner	0	0	0	11
Mir5126	0	0	0	0
Trip12	2636	3369	3030	2999
Fbxo36	150	142	177	193
Slc16a14	0	0	0	0
A530032D15Rik	24	7	37	3
Gm7609	0	5	11	0
C130026I21Rik	61	207	101	104
Sp110	4855	4702	5147	5051
Sp140	518	840	571	454
Sp100	7580	8960	10410	9732
A630001G21Rik	1089	1314	1002	1055
Mir8096	0	0	0	18
9930111H07Rik	0	14	0	6
Cab39	9406	8864	11187	9453
Itm2c	9820	9548	10155	8707
4933407L21Rik	0	3	0	0
Gpr55	5	19	11	12
Spata3	0	0	0	0
2810459M11Rik	0	0	0	0
Psmd1	16237	14125	17046	14848
Htr2b	0	3	11	0
Armc9	1183	1410	1004	1069
B3gnt7	1234	1858	1686	1678
Ncl	64351	40296	67640	51784
Snora75	29	31	17	9
Gm24148	15	5	6	1
Snord82	1	0	0	1
C130036L24Rik	203	238	213	158
Nmur1	47	23	0	18
1700019O17Rik	0	0	0	0
Ptma	4243	3478	4245	3709
Pde6d	2447	3086	2003	2422
Cops7b	3341	4071	3520	3437
Nppc	0	0	0	0
Dis3l2	3948	3308	3550	3772
Alppl2	0	0	0	0
Alpi	0	0	0	4
Akp3	0	0	0	0
Ecel1	0	1	0	23
Prss56	0	0	0	0
Chrnd	0	0	0	0
Chrng	0	0	0	4
Eif4e2	7226	7462	7707	6471
Efhd1	9	2	53	15
Gigyf2	3000	3000	3255	2856
Kcnj13	3	2	5	9
3110079O15Rik	0	0	0	0
Ngef	0	0	0	0
Neu2	0	0	0	0
Inpp5d	19057	20307	22992	22431
Atg16l1	2977	3367	2811	2546
Scarna6	0	0	0	0
Sag	2	3	8	5
Dgkd	5037	5608	7047	7145
Usp40	1939	2026	2376	1939
Ugt1a10	0	0	0	0
Ugt1a9	0	12	13	7
Ugt1a7c	1142	1054	1596	843
Ugt1a6b	6	14	20	13
Ugt1a6a	1	2	5	15
Ugt1a5	0	0	0	0
Ugt1a2	0	0	0	0
Dnajb3	126	130	85	95
Ugt1a1	0	7	0	0
Mroh2a	34	31	24	11
Hjurp	219	437	295	243
6430706D22Rik	0	0	0	0
A730008H23Rik	0	0	0	0
Trpm8	0	0	0	0
Spp2	0	0	0	0
Glrp1	95	0	158	0
Gm19589	0	0	0	0
Arl4c	356	652	421	520
Platr5	0	0	0	0
1700067G17Rik	20	15	7	5
Sh3bp4	223	411	348	329
C030007H22Rik	0	0	0	0
Agap1	2079	2092	2111	1658
4933400F21Rik	5	6	0	0
Gbx2	1798	1551	2176	1751
Asb18	0	0	0	0
Iqca	0	1	0	0
Ackr3	1	4	7	4
Cops8	5707	5667	5355	5090
Col6a3	1	0	0	0
Mlph	128	10	95	11
Prlh	2	0	0	0
Rab17	1063	2276	957	1306
Lrrfip1	12247	12622	13526	11797
Rbm44	263	0	228	0
Ramp1	17254	20841	16595	18900
Ube2f	1457	1763	1511	1374
Scly	3836	4401	4341	4409
Espnl	148	144	190	101
Klhl30	85	127	269	169
Fam132b	90	121	52	55
Ilkap	5965	5767	5570	5710
1700020N18Rik	10	53	18	27
Hes6	8015	7522	7827	7486
Per2	1586	1760	1740	1543
Traf3ip1	552	532	532	599
Asb1	491	1009	813	728
Twist2	0	0	0	0
Hdac4	3438	2666	3243	2700
Ndufa10	8596	6235	8306	7075
Mir6900	0	0	0	0
Olfr1416	0	0	0	0
Olfr1415	0	0	0	0
Olfr1414	0	0	0	0
Olfr1413	0	0	0	0
Olfr1412	0	0	0	0
Olfr1411	0	0	0	0
Olfr1410	0	0	0	0
Olfr12	0	0	0	0
Myeov2	722	1061	868	843
Otos	322	544	570	329
Gpc1	1800	2234	2848	2051
Mir149	0	0	0	0
Ankmy1	20	0	0	0
Dusp28	1114	1190	934	1151
Rnpepl1	7764	8588	7853	7051
9430060I03Rik	87	128	45	148
Capn10	2209	2492	1811	2100
Gpr35	8	52	50	13
Aqp12	0	0	0	0
Kif1a	0	6	8	0
Agxt	0	0	0	0
2310007B03Rik	0	0	0	0
Sned1	10	12	19	30
Mir6901	0	0	0	0
Mterf4	1191	1773	1087	1237
Pask	2050	1915	3203	2979
Ppp1r7	5375	4321	6015	5389
Mir6902	3	0	4	0
Mir6345	5	0	0	0
Ano7	269	251	220	163
Hdlbp	11495	8487	13830	11559
Sept2	9680	11853	9969	9801
Farp2	114	155	117	124
Stk25	6428	5679	7400	4311
Bok	997	870	1027	724
Thap4	4179	3976	4199	3871
Atg4b	5154	5589	5299	4798
Dtymk	7508	7723	7312	6681
Ing5	4386	4259	5131	3296
D2hgdh	1340	1224	1156	995
Gal3st2	0	0	0	0
Gm9994	0	4	1	1
Gm6086	4	1	19	0
Neu4	3	0	0	0
Pdcd1	692	49	578	141
4930440C22Rik	0	0	0	0
Fam174a	3886	5586	3990	4060
St8sia4	2958	6131	4065	5290
4930598F16Rik	0	0	0	0
1700063A18Rik	0	0	0	0
4930533P14Rik	0	0	0	0
Slco4c1	5	13	0	38
Panct2	23	163	48	58
Slco6b1	0	0	0	0
Slco6c1	0	0	0	0
D1Ertd622e	1233	1496	1259	1255
Ppip5k2	5193	5455	6003	6660
Gin1	1102	1383	1140	1098
Pam	3172	5485	4133	5586
B230216N24Rik	49	29	33	37
1810006J02Rik	22	17	12	19
Slco6d1	0	0	0	0
Cntnap5b	0	3	0	0
Gm20268	0	0	0	0
Cdh20	0	5	0	0
Rnf152	0	0	0	0
Pign	1136	1795	1996	1904
2310035C23Rik	1757	2605	2143	2238
Tnfrsf11a	104	128	117	93
Zcchc2	2446	2899	2755	2681
Gm20753	0	4	7	2
Phlpp1	1185	1110	1441	1026
Bcl2	6584	5819	8750	7594
Mir3473f	0	0	0	0
Kdsr	3678	4766	4095	4301
Vps4b	11021	11388	10574	10678
Serpinb5	0	0	0	0
Serpinb12	0	0	0	0
Serpinb13	0	0	0	0
Serpinb3a	0	0	0	0
Serpinb3d	0	0	0	0
Serpinb3b	0	0	0	0
Serpinb3c	0	0	0	0
Serpinb11	0	3	0	3
Serpinb7	0	0	0	0
Serpinb2	0	17	22	0
Serpinb10	62	151	99	136
Serpinb8	690	1367	609	1266
D830032E09Rik	0	0	0	0
Cdh7	0	0	0	0
Cdh19	0	0	0	0
Dsel	172	406	327	434
Cntnap5a	0	0	0	0
Tsn	9803	9278	9767	8911
Nifk	11850	10438	11330	9796
Clasp1	1858	2176	3228	2421
2900060B14Rik	25	81	41	61
Tfcp2l1	280	196	159	60
Gli2	18	26	0	12
Mir6346	0	0	0	0
Inhbb	0	0	3	0
Ralb	2060	1888	2425	1545
Tmem185b	2650	3229	3007	2479
3830432H09Rik	0	0	0	0
Epb4.1l5	448	610	189	234
Ptpn4	171	287	101	138
Tmem177	1361	2214	1207	1790
Cfap221	0	0	0	0
Sctr	0	4	0	0
Tmem37	425	814	446	470
Dbi	1823	1660	1811	1796
3110009E18Rik	138	267	113	143
Steap3	1879	2002	1737	1536
C1ql2	0	2	0	0
Marco	3	4	0	0
En1	0	0	0	0
Celrr	5	1	0	0
Insig2	1557	2385	1391	1780
Ccdc93	593	958	1250	1052
